Index,GPS time,CoG,Lat,Lon,VX,VY,VZ,relPosHeading
73,2330:340459.262,199.25,0.00000000,0.00000000,0.00,0.00,0.00,307.58236
74,2330:340459.405,199.25,0.00000000,0.00000000,0.00,0.01,0.00,307.60552
75,2330:340459.548,199.25,0.00000000,0.00000000,0.00,0.01,0.00,307.61280
76,2330:340459.691,199.25,0.00000000,0.00000000,-0.01,0.00,0.00,307.61178
77,2330:340459.834,199.25,0.00000000,0.00000000,0.01,0.00,0.00,307.60934
78,2330:340459.977,199.25,0.00000000,0.00000000,-0.01,0.00,0.00,307.57272
79,2330:340460.120,199.25,0.00000000,0.00000000,0.00,0.01,0.00,307.62884
80,2330:340460.263,199.25,0.00000000,0.00000000,-0.01,0.00,0.01,307.57788
81,2330:340460.406,199.25,0.00000000,0.00000000,0.01,0.00,0.00,307.62232
82,2330:340460.549,199.25,0.00000000,0.00000000,-0.01,0.00,0.00,307.59092
83,2330:340460.692,199.25,0.00000000,0.00000000,0.00,0.00,0.00,307.60894
84,2330:340460.835,199.25,0.00000000,0.00000000,0.00,0.00,0.00,307.61274
85,2330:340460.978,199.25,0.00000000,0.00000000,0.00,0.00,0.00,307.57012
86,2330:340461.121,199.25,0.00000000,0.00000000,0.00,0.00,0.00,307.60690
87,2330:340461.264,199.25,0.00000000,0.00000000,0.00,0.00,0.00,307.59644
88,2330:340461.407,199.25,0.00000000,0.00000000,0.00,0.00,0.00,307.66034
89,2330:340461.550,199.25,0.00000000,0.00000000,-0.01,0.00,0.00,307.58042
90,2330:340461.693,199.25,0.00000000,0.00000000,0.00,0.00,0.00,307.60244
91,2330:340461.836,199.25,0.00000000,0.00000000,0.00,0.00,0.00,307.59652
92,2330:340461.979,199.25,0.00000000,0.00000000,0.00,0.00,0.00,307.55572
93,2330:340462.122,199.25,0.00000000,0.00000000,0.01,0.00,0.00,307.57462
94,2330:340462.265,199.25,0.00000000,0.00000000,0.00,0.00,-0.01,307.61056
95,2330:340462.408,199.25,0.00000000,0.00000000,0.00,-0.01,0.00,307.52280
96,2330:340462.551,199.25,0.00000000,0.00000000,0.00,0.00,0.01,307.59780
97,2330:340462.694,199.25,0.00000000,0.00000000,0.00,0.00,-0.01,307.59412
98,2330:340462.837,199.25,0.00000000,0.00000000,0.00,0.00,0.00,307.54742
99,2330:340462.980,199.25,0.00000000,0.00000000,0.01,0.00,0.00,307.56390
100,2330:340463.123,199.25,0.00000000,0.00000000,0.00,0.00,0.00,307.59968
101,2330:340463.266,199.25,0.00000000,0.00000000,0.00,0.00,-0.01,307.58960
102,2330:340463.409,199.25,0.00000000,0.00000000,0.00,0.01,0.00,307.58472
103,2330:340463.552,199.25,0.00000000,0.00000000,-0.02,0.01,0.01,307.58532
104,2330:340463.695,199.25,0.00000000,0.00000000,-0.07,0.02,0.05,307.65036
105,2330:340463.838,307.54,0.00000000,0.00000000,-0.15,0.04,0.09,307.64506
106,2330:340463.981,307.61,0.00000000,0.00000000,-0.21,0.05,0.14,307.63382
107,2330:340464.124,305.58,0.00000000,0.00000000,-0.25,0.05,0.15,307.69818
108,2330:340464.267,308.58,0.00000000,0.00000000,-0.33,0.08,0.21,307.59150
109,2330:340464.410,306.33,0.00000000,0.00000000,-0.43,0.10,0.25,307.57206
110,2330:340464.553,304.58,0.00000000,0.00000000,-0.51,0.09,0.29,307.37780
111,2330:340464.696,305.24,0.00000000,0.00000000,-0.67,0.12,0.40,307.14422
112,2330:340464.839,302.48,0.00000000,0.00000000,-0.87,0.14,0.46,306.40610
113,2330:340464.982,301.65,0.00000000,0.00000000,-1.07,0.15,0.55,305.50354
114,2330:340465.125,299.63,0.00000000,0.00000000,-1.32,0.15,0.63,304.73234
115,2330:340465.268,299.85,0.00000000,0.00000000,-1.49,0.20,0.71,303.92468
116,2330:340465.411,297.98,0.00000000,0.00000000,-1.69,0.18,0.75,302.75596
117,2330:340465.554,295.77,0.00000000,0.00000000,-1.90,0.16,0.77,301.30200
118,2330:340465.697,294.12,0.00000000,0.00000000,-2.10,0.16,0.78,300.06458
119,2330:340465.840,294.06,0.00000000,0.00000000,-2.20,0.15,0.83,298.56558
120,2330:340465.983,290.76,0.00000000,0.00000000,-2.47,0.09,0.79,296.63410
121,2330:340466.126,290.36,0.00000000,0.00000000,-2.60,0.11,0.80,295.15670
122,2330:340466.269,289.51,0.00000000,0.00000000,-2.81,0.09,0.83,293.44962
123,2330:340466.412,285.55,0.00000000,0.00000000,-2.98,0.00,0.68,291.52958
124,2330:340466.555,285.13,0.00000000,0.00000000,-3.09,-0.01,0.68,289.95578
125,2330:340466.698,283.14,0.00000000,0.00000000,-3.23,-0.09,0.62,287.88440
126,2330:340466.841,284.22,0.00000000,0.00000000,-3.32,-0.04,0.69,286.41004
127,2330:340466.984,281.53,0.00000000,0.00000000,-3.53,-0.13,0.58,284.70666
128,2330:340467.127,278.49,0.00000000,0.00000000,-3.66,-0.22,0.43,282.52886
129,2330:340467.270,277.12,0.00000000,0.00000000,-3.75,-0.28,0.36,280.69488
130,2330:340467.413,273.79,0.00000000,0.00000000,-3.88,-0.42,0.19,278.80462
131,2330:340467.556,273.87,0.00000000,0.00000000,-3.96,-0.43,0.20,276.85342
132,2330:340467.699,271.50,0.00000000,0.00000000,-4.00,-0.52,0.06,274.82010
133,2330:340467.842,269.79,0.00000000,0.00000000,-4.15,-0.59,-0.05,272.65418
134,2330:340467.985,268.86,0.00000000,0.00000000,-4.23,-0.64,-0.11,270.51474
135,2330:340468.128,265.01,0.00000000,0.00000000,-4.30,-0.80,-0.37,268.65478
136,2330:340468.271,263.08,0.00000000,0.00000000,-4.32,-0.91,-0.49,266.57694
137,2330:340468.414,261.37,0.00000000,0.00000000,-4.42,-0.98,-0.63,264.57836
138,2330:340468.557,260.82,0.00000000,0.00000000,-4.50,-1.03,-0.67,262.59078
139,2330:340468.700,259.40,0.00000000,0.00000000,-4.55,-1.11,-0.79,260.82746
140,2330:340468.843,256.04,0.00000000,0.00000000,-4.66,-1.28,-1.07,258.83402
141,2330:340468.986,253.58,0.00000000,0.00000000,-4.67,-1.41,-1.26,256.91764
142,2330:340469.129,252.17,0.00000000,0.00000000,-4.74,-1.49,-1.40,254.69240
143,2330:340469.272,250.55,0.00000000,0.00000000,-4.80,-1.58,-1.56,252.62302
144,2330:340469.415,248.04,0.00000000,0.00000000,-4.81,-1.72,-1.79,250.43516
145,2330:340469.558,245.98,0.00000000,0.00000000,-4.83,-1.85,-1.99,248.23112
146,2330:340469.701,244.44,0.00000000,0.00000000,-4.83,-1.89,-2.15,245.91358
147,2330:340469.844,240.85,0.00000000,0.00000000,-4.77,-2.08,-2.48,243.89726
148,2330:340469.987,239.66,0.00000000,0.00000000,-4.77,-2.17,-2.60,241.66776
149,2330:340470.130,236.92,0.00000000,0.00000000,-4.67,-2.27,-2.86,239.33880
150,2330:340470.273,235.36,0.00000000,0.00000000,-4.69,-2.41,-3.04,237.15144
151,2330:340470.416,232.79,0.00000000,0.00000000,-4.62,-2.56,-3.30,235.03214
152,2330:340470.559,230.42,0.00000000,0.00000000,-4.51,-2.67,-3.53,232.82830
153,2330:340470.702,228.63,0.00000000,0.00000000,-4.47,-2.81,-3.73,230.67858
154,2330:340470.845,227.93,0.00000000,0.00000000,-4.52,-2.90,-3.88,229.02358
155,2330:340470.988,226.03,0.00000000,0.00000000,-4.44,-3.00,-4.10,227.13800
156,2330:340471.131,223.71,0.00000000,0.00000000,-4.32,-3.13,-4.35,225.45086
157,2330:340471.274,221.93,0.00000000,0.00000000,-4.17,-3.20,-4.49,223.59652
158,2330:340471.417,221.72,0.00000000,0.00000000,-4.22,-3.24,-4.58,222.13442
159,2330:340471.560,219.45,0.00000000,0.00000000,-4.07,-3.37,-4.83,221.00220
160,2330:340471.703,218.83,0.00000000,0.00000000,-4.01,-3.40,-4.86,220.04400
161,2330:340471.846,219.77,0.00000000,0.00000000,-4.12,-3.43,-4.81,219.29152
162,2330:340471.989,217.81,0.00000000,0.00000000,-3.89,-3.47,-4.89,218.76620
163,2330:340472.132,217.26,0.00000000,0.00000000,-3.87,-3.56,-4.97,218.33732
164,2330:340472.275,218.63,0.00000000,0.00000000,-4.01,-3.54,-4.87,218.15072
165,2330:340472.418,217.96,0.00000000,0.00000000,-3.95,-3.56,-4.92,217.77196
166,2330:340472.561,217.52,0.00000000,0.00000000,-3.89,-3.55,-4.93,217.69650
167,2330:340472.704,217.69,0.00000000,0.00000000,-3.89,-3.51,-4.90,217.49822
168,2330:340472.847,218.45,0.00000000,0.00000000,-3.96,-3.47,-4.85,217.45156
169,2330:340472.990,217.88,0.00000000,0.00000000,-3.85,-3.43,-4.83,217.47770
170,2330:340473.133,217.98,0.00000000,0.00000000,-3.77,-3.35,-4.71,217.75154
171,2330:340473.276,219.26,0.00000000,0.00000000,-3.84,-3.23,-4.57,218.07676
172,2330:340473.419,219.49,0.00000000,0.00000000,-3.79,-3.15,-4.48,218.53138
173,2330:340473.562,220.08,0.00000000,0.00000000,-3.72,-3.04,-4.30,219.00596
174,2330:340473.705,220.98,0.00000000,0.00000000,-3.73,-2.94,-4.16,219.74904
175,2330:340473.848,222.01,0.00000000,0.00000000,-3.73,-2.83,-4.00,220.77076
176,2330:340473.991,223.44,0.00000000,0.00000000,-3.78,-2.73,-3.85,221.90692
177,2330:340474.134,225.09,0.00000000,0.00000000,-3.82,-2.60,-3.66,223.09522
178,2330:340474.277,227.45,0.00000000,0.00000000,-3.88,-2.48,-3.41,224.57284
179,2330:340474.420,228.82,0.00000000,0.00000000,-3.86,-2.38,-3.21,226.25478
180,2330:340474.563,230.12,0.00000000,0.00000000,-3.82,-2.28,-3.03,227.73688
181,2330:340474.706,233.99,0.00000000,0.00000000,-3.97,-2.13,-2.71,229.55784
182,2330:340474.849,236.14,0.00000000,0.00000000,-4.00,-2.02,-2.51,231.66166
183,2330:340474.992,237.55,0.00000000,0.00000000,-3.98,-1.93,-2.36,233.98212
184,2330:340475.135,240.38,0.00000000,0.00000000,-4.01,-1.79,-2.12,236.38584
185,2330:340475.278,244.52,0.00000000,0.00000000,-4.03,-1.60,-1.77,238.72518
186,2330:340475.421,248.32,0.00000000,0.00000000,-4.06,-1.44,-1.49,241.70534
187,2330:340475.564,250.16,0.00000000,0.00000000,-3.98,-1.32,-1.33,244.54766
188,2330:340475.707,254.43,0.00000000,0.00000000,-3.96,-1.14,-1.02,248.03556
189,2330:340475.850,259.23,0.00000000,0.00000000,-3.89,-0.97,-0.67,251.07178
190,2330:340475.993,263.73,0.00000000,0.00000000,-3.86,-0.79,-0.40,254.66940
191,2330:340476.136,267.01,0.00000000,0.00000000,-3.72,-0.65,-0.19,258.02930
192,2330:340476.279,269.95,0.00000000,0.00000000,-3.52,-0.54,-0.01,261.51020
193,2330:340476.422,275.44,0.00000000,0.00000000,-3.44,-0.37,0.28,264.87250
194,2330:340476.565,279.44,0.00000000,0.00000000,-3.22,-0.26,0.48,268.26310
195,2330:340476.708,282.03,0.00000000,0.00000000,-3.06,-0.18,0.58,271.36132
196,2330:340476.851,284.87,0.00000000,0.00000000,-2.77,-0.10,0.65,274.26682
197,2330:340476.994,288.01,0.00000000,0.00000000,-2.59,-0.02,0.74,277.24784
198,2330:340477.137,291.21,0.00000000,0.00000000,-2.34,0.06,0.79,279.48560
199,2330:340477.280,292.75,0.00000000,0.00000000,-2.06,0.07,0.76,281.73934
200,2330:340477.423,294.97,0.00000000,0.00000000,-1.91,0.13,0.76,283.77900
201,2330:340477.566,297.18,0.00000000,0.00000000,-1.64,0.13,0.73,285.34260
202,2330:340477.709,299.23,0.00000000,0.00000000,-1.43,0.14,0.69,287.00030
203,2330:340477.852,299.62,0.00000000,0.00000000,-1.26,0.14,0.61,288.18516
204,2330:340477.995,301.03,0.00000000,0.00000000,-1.07,0.13,0.55,289.67800
205,2330:340478.138,300.79,0.00000000,0.00000000,-0.96,0.12,0.49,290.56666
206,2330:340478.281,303.70,0.00000000,0.00000000,-0.78,0.12,0.44,291.56546
207,2330:340478.424,303.01,0.00000000,0.00000000,-0.78,0.10,0.44,292.46940
208,2330:340478.567,302.42,0.00000000,0.00000000,-0.79,0.11,0.43,293.03744
209,2330:340478.710,301.27,0.00000000,0.00000000,-0.87,0.11,0.45,293.71154
210,2330:340478.853,300.55,0.00000000,0.00000000,-0.86,0.10,0.44,294.25460
211,2330:340478.996,302.01,0.00000000,0.00000000,-0.93,0.13,0.49,294.93436
212,2330:340479.139,298.98,0.00000000,0.00000000,-1.05,0.10,0.50,295.24686
213,2330:340479.282,299.54,0.00000000,0.00000000,-1.15,0.13,0.55,295.29550
214,2330:340479.425,295.73,0.00000000,0.00000000,-1.41,0.10,0.58,295.25562
215,2330:340479.568,294.24,0.00000000,0.00000000,-1.57,0.10,0.60,295.19970
216,2330:340479.711,291.75,0.00000000,0.00000000,-1.82,0.06,0.63,294.60290
217,2330:340479.854,291.70,0.00000000,0.00000000,-1.92,0.06,0.66,293.81238
218,2330:340479.997,287.18,0.00000000,0.00000000,-2.12,-0.02,0.57,292.31732
219,2330:340480.140,284.19,0.00000000,0.00000000,-2.31,-0.07,0.50,290.68728
220,2330:340480.283,283.15,0.00000000,0.00000000,-2.48,-0.09,0.49,288.83610
221,2330:340480.426,279.38,0.00000000,0.00000000,-2.66,-0.19,0.38,286.94854
222,2330:340480.569,278.45,0.00000000,0.00000000,-2.78,-0.22,0.36,284.77642
223,2330:340480.712,276.69,0.00000000,0.00000000,-2.96,-0.26,0.29,282.43270
224,2330:340480.855,271.82,0.00000000,0.00000000,-3.08,-0.42,0.07,279.92634
225,2330:340480.998,268.77,0.00000000,0.00000000,-3.20,-0.51,-0.08,276.95346
226,2330:340481.141,266.95,0.00000000,0.00000000,-3.34,-0.58,-0.18,274.00156
227,2330:340481.284,264.51,0.00000000,0.00000000,-3.44,-0.68,-0.31,270.91552
228,2330:340481.427,260.89,0.00000000,0.00000000,-3.50,-0.81,-0.52,267.70936
229,2330:340481.570,257.41,0.00000000,0.00000000,-3.53,-0.91,-0.73,264.70932
230,2330:340481.713,253.80,0.00000000,0.00000000,-3.56,-1.03,-0.96,260.92492
231,2330:340481.856,250.76,0.00000000,0.00000000,-3.57,-1.14,-1.16,257.84100
232,2330:340481.999,248.21,0.00000000,0.00000000,-3.61,-1.26,-1.34,254.58236
233,2330:340482.142,245.28,0.00000000,0.00000000,-3.58,-1.35,-1.55,251.30300
234,2330:340482.285,242.15,0.00000000,0.00000000,-3.59,-1.48,-1.78,248.24044
235,2330:340482.428,240.18,0.00000000,0.00000000,-3.62,-1.57,-1.95,245.38314
236,2330:340482.571,237.57,0.00000000,0.00000000,-3.57,-1.70,-2.13,242.82394
237,2330:340482.714,235.81,0.00000000,0.00000000,-3.53,-1.76,-2.26,240.41646
238,2330:340482.857,234.60,0.00000000,0.00000000,-3.61,-1.89,-2.41,238.17286
239,2330:340483.000,233.06,0.00000000,0.00000000,-3.62,-1.97,-2.57,235.99042
240,2330:340483.143,230.76,0.00000000,0.00000000,-3.60,-2.11,-2.79,234.08816
241,2330:340483.286,228.55,0.00000000,0.00000000,-3.54,-2.20,-2.98,232.22490
242,2330:340483.429,228.20,0.00000000,0.00000000,-3.59,-2.27,-3.05,230.09980
243,2330:340483.572,227.11,0.00000000,0.00000000,-3.57,-2.33,-3.16,229.21924
244,2330:340483.715,224.86,0.00000000,0.00000000,-3.47,-2.43,-3.35,227.39692
245,2330:340483.858,223.27,0.00000000,0.00000000,-3.42,-2.52,-3.50,225.53068
246,2330:340484.001,221.76,0.00000000,0.00000000,-3.37,-2.57,-3.66,224.40198
247,2330:340484.144,221.80,0.00000000,0.00000000,-3.41,-2.63,-3.69,223.16932
248,2330:340484.287,220.08,0.00000000,0.00000000,-3.33,-2.70,-3.85,222.12678
249,2330:340484.430,220.44,0.00000000,0.00000000,-3.42,-2.74,-3.90,221.14568
250,2330:340484.573,219.12,0.00000000,0.00000000,-3.37,-2.80,-4.05,220.27718
251,2330:340484.716,218.23,0.00000000,0.00000000,-3.35,-2.83,-4.18,219.42762
252,2330:340484.859,219.11,0.00000000,0.00000000,-3.41,-2.81,-4.11,218.69956
253,2330:340485.002,218.34,0.00000000,0.00000000,-3.36,-2.84,-4.17,218.16012
254,2330:340485.145,217.55,0.00000000,0.00000000,-3.37,-2.93,-4.31,217.52938
255,2330:340485.288,218.07,0.00000000,0.00000000,-3.45,-2.93,-4.34,217.46728
256,2330:340485.431,217.25,0.00000000,0.00000000,-3.40,-2.98,-4.41,217.52804
257,2330:340485.574,217.53,0.00000000,0.00000000,-3.41,-2.92,-4.39,217.18608
258,2330:340485.717,216.92,0.00000000,0.00000000,-3.37,-2.97,-4.43,216.94544
259,2330:340485.860,217.18,0.00000000,0.00000000,-3.40,-2.95,-4.43,216.58930
260,2330:340486.003,215.30,0.00000000,0.00000000,-3.25,-2.98,-4.58,216.25256
261,2330:340486.146,215.18,0.00000000,0.00000000,-3.23,-3.01,-4.57,215.95886
262,2330:340486.289,216.06,0.00000000,0.00000000,-3.30,-2.99,-4.49,215.54280
263,2330:340486.432,214.64,0.00000000,0.00000000,-3.16,-3.00,-4.57,215.41160
264,2330:340486.575,214.75,0.00000000,0.00000000,-3.17,-3.00,-4.56,215.02606
265,2330:340486.718,214.44,0.00000000,0.00000000,-3.12,-2.97,-4.55,214.79772
266,2330:340486.861,214.93,0.00000000,0.00000000,-3.12,-2.92,-4.47,214.52862
267,2330:340487.004,214.59,0.00000000,0.00000000,-3.04,-2.89,-4.41,214.46764
268,2330:340487.147,214.49,0.00000000,0.00000000,-2.96,-2.80,-4.31,214.20452
269,2330:340487.290,214.92,0.00000000,0.00000000,-2.92,-2.73,-4.18,214.11434
270,2330:340487.433,214.68,0.00000000,0.00000000,-2.81,-2.65,-4.06,214.32064
271,2330:340487.576,214.84,0.00000000,0.00000000,-2.75,-2.56,-3.94,214.24072
272,2330:340487.719,215.97,0.00000000,0.00000000,-2.73,-2.48,-3.73,214.42730
273,2330:340487.862,215.52,0.00000000,0.00000000,-2.63,-2.42,-3.67,214.19970
274,2330:340488.005,214.57,0.00000000,0.00000000,-2.47,-2.33,-3.59,214.33220
275,2330:340488.148,216.01,0.00000000,0.00000000,-2.45,-2.21,-3.36,214.30964
276,2330:340488.291,215.77,0.00000000,0.00000000,-2.35,-2.17,-3.23,214.35534
277,2330:340488.434,215.34,0.00000000,0.00000000,-2.23,-2.06,-3.13,214.66174
278,2330:340488.577,215.31,0.00000000,0.00000000,-2.13,-1.98,-3.00,214.82736
279,2330:340488.720,216.12,0.00000000,0.00000000,-2.07,-1.86,-2.81,214.86590
280,2330:340488.863,216.07,0.00000000,0.00000000,-1.95,-1.79,-2.65,214.85350
281,2330:340489.006,215.74,0.00000000,0.00000000,-1.79,-1.66,-2.47,214.86922
282,2330:340489.149,215.76,0.00000000,0.00000000,-1.67,-1.53,-2.31,214.97190
283,2330:340489.292,216.48,0.00000000,0.00000000,-1.58,-1.41,-2.11,215.20542
284,2330:340489.435,215.63,0.00000000,0.00000000,-1.42,-1.31,-1.97,215.24578
285,2330:340489.578,216.46,0.00000000,0.00000000,-1.32,-1.18,-1.77,215.32390
286,2330:340489.721,216.57,0.00000000,0.00000000,-1.20,-1.09,-1.60,215.43722
287,2330:340489.864,215.61,0.00000000,0.00000000,-1.07,-0.99,-1.49,215.29006
288,2330:340490.007,217.97,0.00000000,0.00000000,-1.01,-0.87,-1.27,215.46732
289,2330:340490.150,215.58,0.00000000,0.00000000,-0.85,-0.79,-1.18,215.68882
290,2330:340490.293,216.68,0.00000000,0.00000000,-0.75,-0.68,-1.00,215.56180
291,2330:340490.436,216.72,0.00000000,0.00000000,-0.65,-0.58,-0.87,215.47772
292,2330:340490.579,217.51,0.00000000,0.00000000,-0.58,-0.49,-0.74,215.55010
293,2330:340490.722,216.86,0.00000000,0.00000000,-0.62,-0.54,-0.82,215.61368
294,2330:340490.865,216.43,0.00000000,0.00000000,-0.62,-0.56,-0.83,215.63840
295,2330:340491.008,215.75,0.00000000,0.00000000,-0.64,-0.59,-0.87,215.60124
296,2330:340491.151,217.12,0.00000000,0.00000000,-0.71,-0.62,-0.93,215.79912
297,2330:340491.294,216.54,0.00000000,0.00000000,-0.79,-0.71,-1.05,215.75788
298,2330:340491.437,216.06,0.00000000,0.00000000,-0.89,-0.80,-1.21,215.66070
299,2330:340491.580,217.51,0.00000000,0.00000000,-1.09,-0.96,-1.39,215.81570
300,2330:340491.723,215.71,0.00000000,0.00000000,-1.19,-1.09,-1.64,215.70016
301,2330:340491.866,216.86,0.00000000,0.00000000,-1.36,-1.23,-1.79,215.74624
302,2330:340492.009,216.82,0.00000000,0.00000000,-1.51,-1.34,-2.00,215.74116
303,2330:340492.152,216.86,0.00000000,0.00000000,-1.68,-1.50,-2.22,215.88868
304,2330:340492.295,216.75,0.00000000,0.00000000,-1.80,-1.59,-2.39,215.89340
305,2330:340492.438,216.98,0.00000000,0.00000000,-1.96,-1.73,-2.57,215.65944
306,2330:340492.581,216.29,0.00000000,0.00000000,-2.06,-1.86,-2.78,215.69718
307,2330:340492.724,216.49,0.00000000,0.00000000,-2.21,-1.98,-2.95,215.89480
308,2330:340492.867,216.47,0.00000000,0.00000000,-2.36,-2.11,-3.16,215.88312
309,2330:340493.010,216.71,0.00000000,0.00000000,-2.50,-2.22,-3.32,215.92116
310,2330:340493.153,216.23,0.00000000,0.00000000,-2.59,-2.32,-3.51,215.64162
