GPS time,CoG,Lat,Lon,VX,VY,VZ
20240904183326,262.06,29.18853467,-81.04548,0.0,-0.0,-0.0
20240904183326,262.06,29.18853467,-81.04548,0.0,0.01,-0.0
20240904183326,262.06,29.18853467,-81.04548,-0.0,0.0,-0.0
20240904183326,262.06,29.18853467,-81.04548,0.0,0.0,-0.0
20240904183326,262.06,29.18853467,-81.04548,0.0,-0.01,0.0
20240904183326,262.06,29.18853467,-81.04548,0.01,0.0,-0.0
20240904183326,262.06,29.18853467,-81.04548,-0.01,0.0,-0.0
20240904183327,262.06,29.18853467,-81.04548,0.01,0.01,0.0
20240904183327,262.06,29.18853467,-81.04548,0.0,-0.0,-0.0
20240904183327,262.06,29.18853467,-81.04548,0.01,-0.0,0.0
20240904183327,262.06,29.18853467,-81.04548,0.01,-0.0,0.01
20240904183327,262.06,29.18853467,-81.04548,0.0,-0.01,0.0
20240904183327,262.06,29.18853467,-81.04548,0.01,0.0,0.0
20240904183327,262.06,29.18853467,-81.04548,0.01,0.01,0.01
20240904183328,262.06,29.18853467,-81.04548,0.01,0.0,0.0
20240904183328,262.06,29.18853467,-81.04548,0.0,-0.0,0.0
20240904183328,262.06,29.18853467,-81.04548,0.0,-0.02,0.01
20240904183328,262.06,29.18853467,-81.04548,0.01,0.0,0.01
20240904183328,262.06,29.18853467,-81.04548,-0.0,-0.0,-0.0
20240904183328,262.06,29.18853467,-81.04548,0.0,0.01,-0.0
20240904183328,262.06,29.18853467,-81.04548,0.0,0.01,0.0
20240904183329,262.06,29.18853467,-81.04548,0.0,0.01,-0.0
20240904183329,262.06,29.18853467,-81.04548,0.0,0.0,-0.0
20240904183329,262.06,29.18853467,-81.04548,0.01,-0.0,0.0
20240904183329,262.06,29.18853467,-81.04548,0.0,-0.01,0.01
20240904183329,262.06,29.18853467,-81.04548,0.0,-0.01,0.01
20240904183329,262.06,29.18853467,-81.04548,0.01,0.0,-0.0
20240904183329,262.06,29.18853467,-81.04548,0.0,-0.01,0.0
20240904183330,262.06,29.18853467,-81.04548,0.01,0.0,0.01
20240904183330,262.06,29.18853467,-81.04548,0.0,-0.0,0.0
20240904183330,262.06,29.18853467,-81.04548,0.0,-0.01,0.0
20240904183330,262.06,29.18853467,-81.04548,0.0,0.0,0.0
20240904183330,262.06,29.18853467,-81.04548,0.0,0.01,0.0
20240904183330,262.06,29.18853467,-81.04548,-0.0,0.0,-0.0
20240904183330,262.06,29.18853467,-81.04548,-0.0,0.0,0.0
20240904183331,262.06,29.18853467,-81.04548,0.0,-0.0,0.0
20240904183331,262.06,29.18853467,-81.04548,0.01,0.01,0.01
20240904183331,262.06,29.18853467,-81.04548,-0.0,0.0,0.0
20240904183331,262.06,29.18853467,-81.04548,0.0,-0.0,0.0
20240904183331,262.06,29.18853467,-81.04548,0.0,-0.0,0.01
20240904183331,262.06,29.18853467,-81.04548,0.01,-0.0,0.0
20240904183331,262.06,29.18853467,-81.04548,-0.0,0.01,-0.0
20240904183332,262.06,29.18853467,-81.04548,-0.0,0.01,0.01
20240904183332,262.06,29.18853467,-81.04548,0.0,-0.0,-0.01
20240904183332,262.06,29.18853467,-81.04548,0.01,0.01,0.01
20240904183332,262.06,29.18853467,-81.04548,0.0,0.0,-0.0
20240904183332,262.06,29.18853467,-81.04548,0.01,0.0,0.01
20240904183332,262.06,29.18853467,-81.04548,-0.0,0.0,0.0
20240904183332,262.06,29.18853467,-81.04548,0.0,0.0,-0.0
20240904183333,262.06,29.18853467,-81.04548,0.0,0.01,0.0
20240904183333,262.06,29.18853467,-81.04548,0.01,-0.0,-0.01
20240904183333,262.06,29.18853467,-81.04548,0.01,-0.01,0.02
20240904183333,262.06,29.18853467,-81.04548,-0.01,-0.01,0.0
20240904183333,262.06,29.18853467,-81.04548,0.01,0.0,0.0
20240904183333,262.06,29.18853467,-81.04548,0.0,0.01,0.01
20240904183333,262.06,29.18853467,-81.04548,0.0,-0.0,0.0
20240904183334,262.06,29.18853467,-81.04548,0.0,-0.0,0.0
20240904183334,262.06,29.18853467,-81.04548,-0.0,0.01,0.01
20240904183334,262.06,29.18853467,-81.04548,-0.0,-0.0,-0.0
20240904183334,262.06,29.18853467,-81.04548,0.01,0.01,0.01
20240904183334,262.06,29.18853467,-81.04548,-0.01,0.0,0.0
20240904183334,262.06,29.18853467,-81.04548,0.0,0.01,-0.0
20240904183334,262.06,29.18853467,-81.04548,-0.0,0.01,-0.01
20240904183335,262.06,29.18853467,-81.04548,-0.0,0.01,0.0
20240904183335,262.06,29.18853467,-81.04548017,0.0,0.01,-0.0
20240904183335,262.06,29.18853467,-81.04548,0.01,-0.02,0.0
20240904183335,262.06,29.18853467,-81.04548,-0.01,0.02,-0.0
20240904183335,262.06,29.18853467,-81.04548,0.01,0.02,-0.0
20240904183335,262.06,29.18853467,-81.04548,0.0,0.01,-0.0
20240904183335,262.06,29.18853467,-81.04548,-0.0,0.01,-0.01
20240904183336,262.06,29.18853467,-81.04548,0.0,0.01,-0.0
20240904183336,262.06,29.18853467,-81.04548,-0.01,0.01,-0.0
20240904183336,262.06,29.18853467,-81.04548,0.01,0.0,0.0
20240904183336,262.06,29.18853467,-81.04548,-0.0,-0.01,-0.0
20240904183336,262.06,29.18853467,-81.04548,0.01,-0.0,0.01
20240904183336,262.06,29.18853467,-81.04548,-0.0,-0.02,-0.0
20240904183336,262.06,29.18853467,-81.04548,0.0,-0.0,0.01
20240904183337,262.06,29.18853467,-81.04548,0.01,0.0,0.0
20240904183337,262.06,29.18853467,-81.04548,-0.0,-0.0,-0.01
20240904183337,262.06,29.18853467,-81.04548,-0.0,0.0,0.0
20240904183337,262.06,29.18853467,-81.04548,0.0,-0.02,0.01
20240904183337,262.06,29.18853467,-81.04548,0.01,-0.02,0.01
20240904183337,262.06,29.18853467,-81.04548,-0.0,-0.01,0.0
20240904183337,262.06,29.18853467,-81.04548,0.01,-0.0,0.0
20240904183338,262.06,29.18853467,-81.04548,0.01,0.0,0.01
20240904183338,262.06,29.18853467,-81.04548,-0.0,-0.0,0.0
20240904183338,262.06,29.18853467,-81.04548,0.01,0.0,0.0
20240904183338,262.06,29.18853467,-81.04548,0.0,0.0,0.01
20240904183338,262.06,29.18853467,-81.04548,-0.0,0.0,-0.0
20240904183338,262.06,29.18853467,-81.04548,0.0,0.01,0.01
20240904183338,262.06,29.18853467,-81.04548,-0.01,0.0,-0.01
20240904183339,262.06,29.18853467,-81.04548,0.01,0.0,0.0
20240904183339,262.06,29.18853467,-81.04548,0.0,0.0,0.01
20240904183339,262.06,29.18853467,-81.04548,0.0,-0.0,0.0
20240904183339,262.06,29.18853467,-81.04548,0.0,0.0,0.01
20240904183339,262.06,29.18853467,-81.04548,-0.0,-0.0,0.0
20240904183339,262.06,29.18853467,-81.04548,0.0,0.0,0.0
20240904183339,262.06,29.18853467,-81.04548,-0.0,0.0,-0.0
20240904183340,262.06,29.18853467,-81.04548,0.01,0.0,0.0
20240904183340,262.06,29.18853467,-81.04548,-0.0,0.0,0.0
20240904183340,262.06,29.18853467,-81.04548,0.0,0.02,-0.0
20240904183340,262.06,29.18853467,-81.04548,-0.0,0.01,-0.01
20240904183340,262.06,29.18853467,-81.04548,-0.01,0.01,0.0
20240904183340,262.06,29.18853467,-81.04548,0.0,0.01,-0.0
20240904183340,262.06,29.18853467,-81.04548,0.0,0.0,-0.0
20240904183341,262.06,29.18853467,-81.04548,-0.01,0.0,-0.0
20240904183341,262.06,29.18853467,-81.04548,0.0,-0.0,0.0
20240904183341,262.06,29.18853467,-81.04548,-0.01,-0.0,0.01
20240904183341,262.06,29.18853467,-81.04548017,0.01,-0.01,0.01
20240904183341,262.06,29.18853467,-81.04548017,-0.0,-0.01,0.0
20240904183341,262.06,29.18853467,-81.04548017,-0.01,-0.01,-0.0
20240904183341,262.06,29.18853467,-81.04548,0.01,0.0,0.0
20240904183342,262.06,29.18853467,-81.04548017,-0.0,0.01,0.0
20240904183342,262.06,29.18853467,-81.04548017,0.0,0.0,-0.01
20240904183342,262.06,29.18853467,-81.04548,0.01,-0.0,0.01
20240904183342,262.06,29.18853467,-81.04548017,-0.02,0.0,-0.0
20240904183342,262.06,29.18853467,-81.04548,0.0,0.0,-0.0
20240904183342,262.06,29.18853467,-81.04548017,-0.01,0.0,0.0
20240904183342,262.06,29.18853467,-81.04548017,0.01,0.0,-0.0
20240904183343,262.06,29.18853467,-81.04548,0.0,0.0,0.01
20240904183343,262.06,29.18853467,-81.04548017,-0.0,-0.0,-0.01
20240904183343,262.06,29.18853467,-81.04548017,0.0,-0.01,0.01
20240904183343,262.06,29.18853467,-81.04548017,-0.0,-0.0,0.0
20240904183343,262.06,29.18853467,-81.04548017,0.0,-0.01,0.0
20240904183343,262.06,29.18853467,-81.04548,0.01,-0.0,0.0
20240904183343,262.06,29.18853467,-81.04548,-0.01,-0.01,-0.0
20240904183344,262.06,29.18853467,-81.04548017,0.0,0.0,-0.0
20240904183344,262.06,29.18853467,-81.04548,-0.0,-0.0,-0.0
20240904183344,262.06,29.18853467,-81.04548,0.0,0.0,0.01
20240904183344,262.06,29.18853467,-81.04548,-0.0,-0.0,-0.0
20240904183344,262.06,29.18853467,-81.04548,0.01,-0.0,0.0
20240904183344,262.06,29.18853467,-81.04548,0.0,0.0,0.01
20240904183344,262.06,29.18853467,-81.04548,-0.0,0.0,-0.0
20240904183345,262.06,29.18853467,-81.04548,-0.0,0.01,-0.01
20240904183345,262.06,29.18853467,-81.04548,0.0,0.01,-0.0
20240904183345,262.06,29.18853467,-81.04548,-0.0,0.0,0.0
20240904183345,262.06,29.18853467,-81.04548,0.01,-0.0,-0.01
20240904183345,262.06,29.18853467,-81.04548,-0.0,0.01,0.0
20240904183345,262.06,29.18853467,-81.04548,0.0,0.01,-0.0
20240904183345,262.06,29.18853467,-81.04548,-0.01,0.01,-0.0
20240904183346,262.06,29.18853467,-81.04548,0.0,0.01,-0.0
20240904183346,262.06,29.18853467,-81.04548,-0.0,0.01,0.0
20240904183346,262.06,29.18853467,-81.04548,0.0,-0.01,-0.0
20240904183346,262.06,29.18853467,-81.04548,0.01,-0.0,0.01
20240904183346,262.06,29.18853467,-81.04548,-0.0,-0.01,0.0
20240904183346,262.06,29.18853467,-81.04548,0.0,-0.01,-0.0
20240904183346,262.06,29.18853467,-81.04548,0.0,0.0,0.0
20240904183347,262.06,29.18853467,-81.04548,-0.0,-0.01,-0.0
20240904183347,262.06,29.18853467,-81.04548,0.0,0.01,0.01
20240904183347,262.06,29.18853467,-81.04548,0.01,-0.01,-0.0
20240904183347,262.06,29.18853467,-81.04548,-0.0,0.0,-0.0
20240904183347,262.06,29.18853467,-81.04548,-0.0,0.0,-0.0
20240904183347,262.06,29.18853467,-81.04548,-0.0,0.0,-0.0
20240904183347,262.06,29.18853467,-81.04548,0.01,-0.0,-0.0
20240904183348,262.06,29.18853467,-81.04548,-0.0,0.0,0.01
20240904183348,262.06,29.18853467,-81.04548,0.0,0.0,-0.01
20240904183348,262.06,29.18853467,-81.04548,-0.0,-0.0,0.01
20240904183348,262.06,29.18853467,-81.04548,0.01,-0.0,-0.0
20240904183348,262.06,29.18853467,-81.04548,-0.0,0.01,0.0
20240904183348,262.06,29.18853467,-81.04548,0.01,0.0,-0.0
20240904183348,262.06,29.18853467,-81.04548,-0.01,0.01,0.0
20240904183349,262.06,29.18853467,-81.04548,0.0,0.01,-0.0
20240904183349,262.06,29.18853467,-81.04548,0.0,0.01,0.0
20240904183349,262.06,29.18853467,-81.04548,-0.0,-0.0,-0.0
20240904183349,262.06,29.18853467,-81.04548,0.01,0.02,0.01
20240904183349,262.06,29.18853467,-81.04548,0.0,-0.0,0.0
20240904183349,262.06,29.18853467,-81.04548,0.0,0.0,-0.0
20240904183349,262.06,29.18853467,-81.04548,0.01,0.02,0.0
20240904183350,262.06,29.18853467,-81.04548,-0.0,0.01,-0.01
20240904183350,262.06,29.18853467,-81.04548,0.0,0.01,-0.0
20240904183350,262.06,29.18853467,-81.04548,0.0,0.01,0.0
20240904183350,262.06,29.18853467,-81.04548,0.01,-0.01,0.01
20240904183350,262.06,29.18853467,-81.04548,0.0,0.0,0.01
20240904183350,262.06,29.18853467,-81.04548,-0.0,0.01,-0.0
20240904183350,262.06,29.18853467,-81.04548,-0.0,-0.0,0.01
20240904183351,262.06,29.18853467,-81.04548,0.01,0.0,0.01
20240904183351,262.06,29.18853467,-81.04548,0.0,0.0,0.01
20240904183351,262.06,29.18853467,-81.04548,0.01,-0.0,0.0
20240904183351,262.06,29.18853467,-81.04548,0.01,-0.0,0.01
20240904183351,262.06,29.18853467,-81.04548,0.0,-0.01,0.01
20240904183351,262.06,29.18853467,-81.04548,0.01,-0.01,0.0
20240904183351,262.06,29.18853467,-81.04548,0.0,0.0,0.01
20240904183352,262.06,29.18853467,-81.04548,0.01,-0.0,0.01
20240904183352,262.06,29.18853467,-81.04548,0.0,0.0,0.0
20240904183352,262.06,29.18853467,-81.04548,-0.0,0.0,0.0
20240904183352,262.06,29.18853467,-81.04548,0.0,-0.0,-0.0
20240904183352,262.06,29.18853467,-81.04548,-0.0,0.0,0.0
20240904183352,262.06,29.18853467,-81.04548,0.01,0.01,0.0
20240904183352,262.06,29.18853467,-81.04548,0.0,-0.0,0.0
20240904183353,262.06,29.18853467,-81.04548,0.0,-0.0,0.0
20240904183353,262.06,29.18853467,-81.04548,0.0,0.0,0.01
20240904183353,262.06,29.18853467,-81.04548,0.0,-0.0,-0.0
20240904183353,262.06,29.18853467,-81.04548,0.0,0.01,0.0
20240904183353,262.06,29.18853467,-81.04548,-0.0,0.0,-0.0
20240904183353,262.06,29.18853467,-81.04548,0.01,0.0,-0.0
20240904183353,262.06,29.18853467,-81.04548,-0.0,0.0,0.0
20240904183354,262.06,29.18853467,-81.04548,0.0,0.01,0.0
20240904183354,262.06,29.18853467,-81.04548,-0.01,0.0,-0.0
20240904183354,262.06,29.18853467,-81.04548,0.01,-0.01,0.01
20240904183354,262.06,29.18853467,-81.04548,0.0,-0.0,0.0
20240904183354,262.06,29.18853467,-81.04548,0.0,0.01,-0.01
20240904183354,262.06,29.18853467,-81.04548,-0.01,0.01,-0.0
20240904183354,262.06,29.18853467,-81.04548,0.0,0.01,-0.01
20240904183355,262.06,29.18853467,-81.04548,-0.0,0.01,0.01
20240904183355,262.06,29.18853467,-81.04548,0.01,0.01,-0.0
20240904183355,262.06,29.18853467,-81.04548,-0.01,0.0,-0.0
20240904183355,262.06,29.18853467,-81.04548,-0.0,-0.0,-0.0
20240904183355,262.06,29.18853467,-81.04548,0.0,0.0,0.0
20240904183355,262.06,29.18853467,-81.04548,0.0,-0.0,0.0
20240904183355,262.06,29.18853467,-81.04548,0.01,0.01,-0.01
20240904183356,262.06,29.18853467,-81.04548,-0.01,-0.0,0.0
20240904183356,262.06,29.18853467,-81.04548,0.01,-0.01,0.0
20240904183356,262.06,29.18853467,-81.04548,0.0,-0.01,-0.0
20240904183356,262.06,29.18853467,-81.04548,-0.0,0.01,0.01
20240904183356,262.06,29.18853467,-81.04548,-0.0,-0.01,-0.01
20240904183356,262.06,29.18853467,-81.04548,0.0,-0.0,0.01
20240904183356,262.06,29.18853467,-81.04548,-0.0,-0.01,-0.01
20240904183357,262.06,29.18853467,-81.04548,0.0,-0.0,0.01
20240904183357,262.06,29.18853467,-81.04548,0.0,0.01,0.0
20240904183357,262.06,29.18853467,-81.04548,-0.01,0.01,-0.0
20240904183357,262.06,29.18853467,-81.04548,-0.0,0.01,-0.0
20240904183357,262.06,29.18853467,-81.04548,0.01,0.0,0.0
20240904183357,262.06,29.18853467,-81.04548,-0.0,0.0,-0.0
20240904183357,262.06,29.18853467,-81.04548,0.0,0.01,0.0
20240904183358,262.06,29.18853467,-81.04548,0.0,-0.0,0.0
20240904183358,262.06,29.18853467,-81.04548,0.01,-0.0,-0.0
20240904183358,262.06,29.18853467,-81.04548,-0.01,0.0,-0.0
20240904183358,262.06,29.18853467,-81.04548,-0.0,0.01,0.0
20240904183358,262.06,29.18853467,-81.04548,0.01,-0.0,0.0
20240904183358,262.06,29.18853467,-81.04548,-0.0,-0.01,-0.0
20240904183358,262.06,29.18853467,-81.04548,0.01,0.0,0.01
20240904183359,262.06,29.18853467,-81.04548,0.0,-0.01,0.0
20240904183359,262.06,29.18853467,-81.04548,0.0,0.01,0.01
20240904183359,262.06,29.18853467,-81.04548,0.0,0.0,0.0
20240904183359,262.06,29.18853467,-81.04548,-0.0,0.0,-0.0
20240904183359,262.06,29.18853467,-81.04548,0.0,0.0,0.01
20240904183359,262.06,29.18853467,-81.04548,-0.0,0.01,-0.01
20240904183359,262.06,29.18853467,-81.04548,0.0,0.01,0.01
20240904183400,262.06,29.18853467,-81.04548,-0.0,0.0,0.01
20240904183400,262.06,29.18853467,-81.04548,0.0,-0.0,-0.0
20240904183400,262.06,29.18853467,-81.04548,-0.0,0.01,0.0
20240904183400,262.06,29.18853467,-81.04548,0.01,-0.0,0.01
20240904183400,262.06,29.18853467,-81.04548,-0.0,-0.02,0.0
20240904183400,262.06,29.18853467,-81.04548,-0.0,-0.01,0.02
20240904183400,262.06,29.18853467,-81.04548,0.0,-0.01,0.0
20240904183401,262.06,29.18853467,-81.04548,0.01,0.0,0.0
20240904183401,262.06,29.18853467,-81.04548,-0.0,-0.01,-0.0
20240904183401,262.06,29.18853467,-81.04548,0.0,0.01,0.0
20240904183401,262.06,29.18853467,-81.04548,-0.01,0.01,-0.0
20240904183401,262.06,29.18853467,-81.04548,0.01,0.01,0.0
20240904183401,262.06,29.18853467,-81.04548,-0.01,0.0,0.0
20240904183401,262.06,29.18853467,-81.04548,-0.0,-0.0,0.0
20240904183402,262.06,29.18853467,-81.04548,-0.01,-0.0,-0.0
20240904183402,262.06,29.18853467,-81.04548,-0.0,-0.0,0.01
20240904183402,262.06,29.18853467,-81.04548,0.0,-0.0,-0.0
20240904183402,262.06,29.18853467,-81.04548,-0.01,0.01,0.01
20240904183402,262.06,29.18853467,-81.04548,-0.0,-0.01,-0.0
20240904183402,262.06,29.18853467,-81.04548,-0.0,-0.0,-0.0
20240904183402,262.06,29.18853467,-81.04548,-0.0,0.0,0.01
20240904183403,262.06,29.18853467,-81.04548,0.0,-0.01,0.0
20240904183403,262.06,29.18853467,-81.04548,-0.0,-0.0,-0.0
20240904183403,262.06,29.18853467,-81.04548,0.0,0.0,0.0
20240904183403,262.06,29.18853467,-81.04548,0.0,0.01,0.0
20240904183403,262.06,29.18853467,-81.04548,0.0,-0.0,-0.01
20240904183403,262.06,29.18853467,-81.04548,-0.0,-0.01,0.01
20240904183403,262.06,29.18853467,-81.04548,-0.0,-0.0,0.0
20240904183404,262.06,29.18853467,-81.04548,0.0,0.01,-0.01
20240904183404,262.06,29.18853467,-81.04548,-0.01,0.0,-0.01
20240904183404,262.06,29.18853467,-81.04548,0.01,0.0,0.01
20240904183404,262.06,29.18853467,-81.04548,-0.0,-0.01,-0.0
20240904183404,262.06,29.18853467,-81.04548,0.01,-0.0,-0.01
20240904183404,262.06,29.18853467,-81.04548,-0.01,0.01,-0.0
20240904183404,262.06,29.18853467,-81.04548,0.01,0.01,-0.01
20240904183405,262.06,29.18853467,-81.04548,-0.0,0.0,0.0
20240904183405,262.06,29.18853467,-81.04548,0.0,0.0,-0.01
20240904183405,262.06,29.18853467,-81.04548,0.0,0.0,0.0
20240904183405,262.06,29.18853467,-81.04548,-0.01,0.01,0.01
20240904183405,262.06,29.18853467,-81.04548017,-0.08,0.02,0.05
20240904183405,309.66,29.18853483,-81.04548033,-0.15,0.04,0.09
20240904183405,308.1,29.188535,-81.04548067,-0.2,0.04,0.14
20240904183406,306.57,29.18853533,-81.045481,-0.25,0.04,0.16
20240904183406,310.59,29.18853567,-81.0454815,-0.3,0.06,0.23
20240904183406,306.09,29.188536,-81.04548217,-0.44,0.07,0.28
20240904183406,308.42,29.1885365,-81.04548283,-0.5,0.1,0.33
20240904183406,308.51,29.18853717,-81.04548367,-0.63,0.13,0.42
20240904183406,308.64,29.188538,-81.04548483,-0.82,0.16,0.56
20240904183406,308.14,29.188539,-81.04548617,-1.0,0.23,0.64
20240904183407,305.69,29.18854017,-81.045488,-1.23,0.25,0.73
20240904183407,306.23,29.18854133,-81.04549,-1.4,0.3,0.84
20240904183407,305.03,29.18854267,-81.04549217,-1.58,0.29,0.92
20240904183407,303.51,29.18854417,-81.04549483,-1.77,0.28,0.99
20240904183407,301.03,29.18854567,-81.0454975,-1.97,0.26,1.0
20240904183407,302.19,29.18854717,-81.0455005,-2.1,0.34,1.09
20240904183407,298.69,29.18854883,-81.04550383,-2.3,0.31,1.03
20240904183408,297.09,29.18855033,-81.0455075,-2.49,0.26,1.06
20240904183408,297.2,29.188552,-81.04551117,-2.63,0.28,1.12
20240904183408,293.57,29.1885535,-81.04551533,-2.86,0.17,1.06
20240904183408,291.0,29.188555,-81.04551967,-2.99,0.12,0.97
20240904183408,290.83,29.1885565,-81.04552417,-3.11,0.13,0.99
20240904183408,289.26,29.188558,-81.04552883,-3.22,0.09,0.94
20240904183408,288.08,29.18855933,-81.04553383,-3.46,0.09,0.92
20240904183409,285.07,29.18856067,-81.045539,-3.61,0.0,0.78
20240904183409,282.49,29.18856167,-81.0455445,-3.7,-0.07,0.65
20240904183409,279.86,29.1885625,-81.04555017,-3.87,-0.19,0.54
20240904183409,278.73,29.18856333,-81.045556,-3.97,-0.26,0.5
20240904183409,277.64,29.188564,-81.04556183,-3.98,-0.3,0.43
20240904183409,275.34,29.1885645,-81.045568,-4.15,-0.38,0.3
20240904183409,274.17,29.18856483,-81.04557417,-4.24,-0.42,0.22
20240904183410,269.93,29.18856483,-81.04558067,-4.34,-0.63,-0.04
20240904183410,268.17,29.18856467,-81.04558733,-4.4,-0.71,-0.15
20240904183410,266.72,29.18856433,-81.045594,-4.46,-0.79,-0.25
20240904183410,265.69,29.188564,-81.04560067,-4.57,-0.84,-0.34
20240904183410,263.89,29.18856333,-81.04560767,-4.65,-0.93,-0.47
20240904183410,260.97,29.18856233,-81.04561483,-4.76,-1.07,-0.71
20240904183410,258.33,29.188561,-81.045622,-4.74,-1.21,-0.9
20240904183411,257.56,29.1885595,-81.0456295,-4.9,-1.28,-0.99
20240904183411,255.14,29.18855783,-81.045637,-4.95,-1.41,-1.2
20240904183411,252.8,29.18855567,-81.04564467,-4.99,-1.53,-1.42
20240904183411,250.67,29.18855333,-81.04565233,-4.99,-1.67,-1.6
20240904183411,248.77,29.18855067,-81.04566,-5.05,-1.78,-1.8
20240904183411,245.37,29.18854767,-81.04566767,-4.98,-1.93,-2.11
20240904183411,244.26,29.18854433,-81.04567533,-5.0,-2.0,-2.23
20240904183412,241.58,29.18854067,-81.045683,-4.98,-2.12,-2.51
20240904183412,239.26,29.18853667,-81.04569083,-4.93,-2.23,-2.75
20240904183412,237.18,29.18853217,-81.0456985,-4.93,-2.38,-2.98
20240904183412,234.33,29.1885275,-81.045706,-4.8,-2.54,-3.23
20240904183412,232.17,29.18852233,-81.04571367,-4.77,-2.69,-3.5
20240904183412,231.23,29.188517,-81.04572117,-4.77,-2.8,-3.6
20240904183412,229.58,29.18851133,-81.04572867,-4.77,-2.93,-3.84
20240904183413,226.09,29.18850517,-81.045736,-4.51,-3.1,-4.13
20240904183413,225.23,29.18849883,-81.04574317,-4.48,-3.14,-4.24
