Index,GPS time,CoG,Lat,Lon,VX,VY,VZ
79,2330:340435.238,262.06,29.18853467,-81.04548000,-0.00,-0.00,-0.01
80,2330:340435.381,262.06,29.18853467,-81.04548000,-0.00,0.00,0.00
81,2330:340435.524,262.06,29.18853467,-81.04548000,0.00,-0.02,0.01
82,2330:340435.667,262.06,29.18853467,-81.04548000,0.01,-0.02,0.01
83,2330:340435.810,262.06,29.18853467,-81.04548000,-0.00,-0.01,0.00
84,2330:340435.953,262.06,29.18853467,-81.04548000,0.01,-0.00,0.00
85,2330:340436.096,262.06,29.18853467,-81.04548000,0.01,0.00,0.01
86,2330:340436.239,262.06,29.18853467,-81.04548000,-0.00,-0.00,0.00
87,2330:340436.382,262.06,29.18853467,-81.04548000,0.01,0.00,0.00
88,2330:340436.525,262.06,29.18853467,-81.04548000,0.00,0.00,0.01
89,2330:340436.668,262.06,29.18853467,-81.04548000,-0.00,0.00,-0.00
90,2330:340436.811,262.06,29.18853467,-81.04548000,0.00,0.01,0.01
91,2330:340436.954,262.06,29.18853467,-81.04548000,-0.01,0.00,-0.01
92,2330:340437.097,262.06,29.18853467,-81.04548000,0.01,0.00,0.00
93,2330:340437.240,262.06,29.18853467,-81.04548000,0.00,0.00,0.01
94,2330:340437.383,262.06,29.18853467,-81.04548000,0.00,-0.00,0.00
95,2330:340437.526,262.06,29.18853467,-81.04548000,0.00,0.00,0.01
96,2330:340437.669,262.06,29.18853467,-81.04548000,-0.00,-0.00,0.00
97,2330:340437.812,262.06,29.18853467,-81.04548000,0.00,0.00,0.00
98,2330:340437.955,262.06,29.18853467,-81.04548000,-0.00,0.00,-0.00
99,2330:340438.098,262.06,29.18853467,-81.04548000,0.01,0.00,0.00
100,2330:340438.241,262.06,29.18853467,-81.04548000,-0.00,0.00,0.00
101,2330:340438.384,262.06,29.18853467,-81.04548000,0.00,0.02,-0.00
102,2330:340438.527,262.06,29.18853467,-81.04548000,-0.00,0.01,-0.01
